id,PMID,AND_ID,AuOrder,LastName,ForeName,Initials,Suffix,AuNum,PubYear,BeginYear
1.0,1,6192779,1,Makar,A B,AB,,4,1975,1968
2.0,1,5101239,2,McMartin,K E,KE,,4,1975,1975
3.0,1,7163914,3,Palese,M,M,,4,1975,1975
4.0,1,8377862,4,Tephly,T R,TR,,4,1975,1961
5.0,2,2181003,1,Bose,K S,KS,,2,1975,1975
6.0,2,2134225,2,Sarma,R H,RH,,2,1975,1968
7.0,3,8803757,1,Smith,R J,RJ,,2,1975,1975
8.0,3,1599310,2,Bryant,R G,RG,,2,1975,1969
9.0,4,1376341,1,Wiesmann,U N,UN,,3,1975,1967
10.0,4,130666,2,DiDonato,S,S,,3,1975,1967
11.0,4,5935267,3,Herschkowitz,N N,NN,,3,1975,1958
12.0,5,276409,1,Hendrickson,W A,WA,,2,1975,1968
13.0,5,1616271,2,Ward,K B,KB,,2,1975,1972
14.0,6,5262672,1,Chow,Y W,YW,,3,1975,1975
15.0,6,5716946,2,Pietranico,R,R,,3,1975,1975
16.0,6,1405285,3,Mukerji,A,A,,3,1975,1975
17.0,7,3968020,1,Anderson,T R,TR,,2,1975,1972
18.0,7,2334682,2,Slotkin,T A,TA,,2,1975,1970
19.0,8,2280615,1,Moroi,K,K,,2,1975,1969
20.0,8,4560934,2,Sato,T,T,,2,1975,1969
21.0,9,6306782,1,Marniemi,J,J,,2,1975,1970
22.0,9,9172783,2,Parkki,M G,MG,,2,1975,1974
23.0,10,3490948,1,Schmoldt,A,A,,3,1975,1972
24.0,10,2210669,2,Benthe,H F,HF,,3,1975,1954
25.0,10,1751942,3,Haberland,G,G,,3,1975,1951
26.0,11,3790333,1,Lefkowitz,R J,RJ,,1,1975,1956
27.0,12,3657578,1,Stein,J M,JM,,1,1975,1959
28.0,13,3438112,1,Järvisalo,J,J,,2,1975,1974
29.0,13,1370245,2,Saris,N E,NE,,2,1975,1958
30.0,14,8013818,1,Bhagwat,V M,VM,,2,1975,1974
31.0,14,3443677,2,Ramachandran,B V,BV,,2,1975,1963
32.0,15,1458823,1,Akamatsu,N,N,,4,1975,1966
33.0,15,2884357,2,Nakajima,H,H,,4,1975,1975
34.0,15,2498997,3,Ono,M,M,,4,1975,1975
35.0,15,4466134,4,Miura,Y,Y,,4,1975,1958
36.0,16,3934025,1,Turner,A J,AJ,,2,1975,1972
37.0,16,1086029,2,Hick,P E,PE,,2,1975,1975
38.0,17,5943731,1,Renaud,B,B,,4,1975,1972
39.0,17,1211569,2,Buda,M,M,,4,1975,1975
40.0,17,3950574,3,Lewis,B D,BD,,4,1975,1975
41.0,17,403556,4,Pujol,J F,JF,,4,1975,1966
42.0,18,8209248,1,Ris,M M,MM,,3,1975,1973
43.0,18,6276661,2,Deitrich,R A,RA,,3,1975,1955
44.0,18,7320982,3,Von Wartburg,J P,JP,,3,1975,1957
45.0,19,4790427,1,Halaris,A E,AE,,3,1975,1973
46.0,19,7145941,2,Belendiuk,K T,KT,,3,1975,1975
47.0,19,2387290,3,Freedman,D X,DX,,3,1975,1956
48.0,20,7288991,1,Barthel,W,W,,2,1975,1960
49.0,20,4936347,2,Markwardt,F,F,,2,1975,1953
50.0,21,16924,1,Isaac,O,O,,2,1975,1957
51.0,21,121108,2,Thiemer,K,K,,2,1975,1953
52.0,22,4865844,1,Ardenne,M,M,,2,1975,1970
53.0,22,5153809,2,Reitnauer,P G,PG,,2,1975,1957
54.0,23,8274968,1,Flohr,H,H,,2,1975,1966
55.0,23,9167317,2,Breull,W,W,,2,1975,1968
56.0,24,3704891,1,Kröger,H,H,,3,1975,1955
57.0,24,1440635,2,Donner,I,I,,3,1975,1970
58.0,24,1947405,3,Skiello,G,G,,3,1975,1972
59.0,25,2240698,1,Coscia,L,L,,4,1975,1959
60.0,25,8094744,2,Causa,P,P,,4,1975,1955
61.0,25,2454874,3,Giuliani,E,E,,4,1975,1959
62.0,25,177020,4,Nunziata,A,A,,4,1975,1974
63.0,26,2945806,1,Scherberger,R R,RR,,3,1975,1975
64.0,26,1328470,2,Kaess,H,H,,3,1975,1955
65.0,26,5083274,3,Brückner,S,S,,3,1975,1975
66.0,27,2431317,1,Conway,C M,CM,,1,1975,1955
67.0,28,4428042,1,Thornton,J A,JA,,2,1975,1958
68.0,28,5115000,2,Harrison,M J,MJ,,2,1975,1972
69.0,29,4039333,1,Maneksha,S,S,,2,1975,1973
70.0,29,8282429,2,Harry,T V,TV,,2,1975,1968
71.0,30,2054131,1,Mier,P D,PD,,2,1975,1957
72.0,30,8455889,2,van den Hurk,J J,JJ,,2,1975,1972
73.0,31,2054131,1,Mier,P D,PD,,2,1975,1957
74.0,31,8455889,2,van den Hurk,J J,JJ,,2,1975,1972
75.0,32,1649559,1,Beck,M L,ML,,5,1975,1968
76.0,32,5267865,2,Freihaut,B,B,,5,1975,1975
77.0,32,6194004,3,Henry,R,R,,5,1975,1975
78.0,32,7603297,4,Pierce,S,S,,5,1975,1975
