id,AND_ID,PI_ID,PMID,ProjectNumber,subProjectNumber,PI_Name
1,214315,3598935,2533975,R01EY003984,,"ROCKEY, JOHN"
2,214315,3598935,2923569,R01EY003984,,"ROCKEY, JOHN"
3,4310831,1867016,8386872,R37CA029884,,"HUNTER, ERIC"
4,3677664,3291404,1316511,P40RR001046,2.0,"FOX, JAMES"
5,3677664,3291404,1376374,P40RR001046,2.0,"FOX, JAMES"
6,3677664,3291404,1557863,P40RR001046,2.0,"FOX, JAMES"
7,3677664,3291404,1556256,P40RR001046,2.0,"FOX, JAMES"
8,3677664,3291404,1644626,P40RR001046,2.0,"FOX, JAMES"
9,3677664,3291404,1316522,P40RR001046,2.0,"FOX, JAMES"
10,3677664,3291404,1613782,P40RR001046,2.0,"FOX, JAMES"
11,3677664,3291404,1548840,P40RR001046,2.0,"FOX, JAMES"
12,3677664,3291404,1370432,P40RR001046,2.0,"FOX, JAMES"
13,5641051,8427417,10362835,P20RR011805,2.0,"GRONERT, SCOTT"
14,5641051,8427417,10491589,P20RR011805,2.0,"GRONERT, SCOTT"
15,5641051,8427417,10329550,P20RR011805,2.0,"GRONERT, SCOTT"
16,5641051,8427417,10360747,P20RR011805,2.0,"GRONERT, SCOTT"
17,5641051,8427417,10726430,P20RR011805,2.0,"GRONERT, SCOTT"
18,5641051,8427417,10423559,P20RR011805,2.0,"GRONERT, SCOTT"
19,5641051,8427417,10334928,P20RR011805,2.0,"GRONERT, SCOTT"
20,5641051,8427417,10552903,P20RR011805,2.0,"GRONERT, SCOTT"
21,5641051,8427417,10407882,P20RR011805,2.0,"GRONERT, SCOTT"
22,5641051,8427417,10354809,P20RR011805,2.0,"GRONERT, SCOTT"
23,8752363,1871632,2341545,P01CA027502,,"ALBERTS, DAVID S"
24,8752363,1871632,2231773,P01CA027502,,"ALBERTS, DAVID S"
25,8752363,1871632,2290787,P01CA027502,,"ALBERTS, DAVID S"
26,8752363,1871632,2189123,P01CA027502,,"ALBERTS, DAVID S"
27,8752363,1871632,1696311,P01CA027502,,"ALBERTS, DAVID S"
28,8752363,1871632,2148744,P01CA027502,,"ALBERTS, DAVID S"
29,8752363,1871632,2390926,P01CA027502,,"ALBERTS, DAVID S"
30,8752363,1871632,2273111,P01CA027502,,"ALBERTS, DAVID S"
31,8752363,1871632,2382980,P01CA027502,,"ALBERTS, DAVID S"
32,8752363,1871632,2107966,P01CA027502,,"ALBERTS, DAVID S"
33,8752363,1871632,2292951,P01CA027502,,"ALBERTS, DAVID S"
34,8752363,1871632,2153987,P01CA027502,,"ALBERTS, DAVID S"
35,8752363,1871632,2118827,P01CA027502,,"ALBERTS, DAVID S"
36,8752363,1871632,2371973,P01CA027502,,"ALBERTS, DAVID S"
37,4083554,1965565,7593415,R01DK003892,,"WILSON, JEAN D"
38,4083554,1965565,7673412,R01DK003892,,"WILSON, JEAN D"
39,4083554,1965565,7559153,R01DK003892,,"WILSON, JEAN D"
40,6732405,1889925,8288562,R37DK005736,,"WILSON, T HASTINGS"
41,6732405,1889925,8166695,R37DK005736,,"WILSON, T HASTINGS"
42,6732405,1889925,8142420,R37DK005736,,"WILSON, T HASTINGS"
43,6732405,1889925,7945341,R37DK005736,,"WILSON, T HASTINGS"
44,6732405,1889925,7951140,R37DK005736,,"WILSON, T HASTINGS"
45,6732405,1889925,7726841,R37DK005736,,"WILSON, T HASTINGS"
46,4396774,1864766,7733326,R01DK017593,,"TEWARSON, REGINALD P"
47,4396774,1864766,7733327,R01DK017593,,"TEWARSON, REGINALD P"
48,4396774,1864766,7733325,R01DK017593,,"TEWARSON, REGINALD P"
49,2194059,1894752,7896883,P01DK018811,,"MAHER, PAMELA ANNE"
50,2194059,1894752,8592522,P01DK018811,,"MAHER, PAMELA ANNE"
51,2194059,1894752,7777161,P01DK018811,,"MAHER, PAMELA ANNE"
52,2194059,1894752,7730030,P01DK018811,,"MAHER, PAMELA ANNE"
53,2194059,1894752,7860646,P01DK018811,,"MAHER, PAMELA ANNE"
54,2194059,1894752,8925285,P01DK018811,,"MAHER, PAMELA ANNE"
